test_id	test_value
SKP600-72	15,529
SKP600-72	14,666
SKP600-72	15,377
SKP600-72	15,427
SKP600-72	13,645
SKP600-72	15,928
SKP600-72	13,606
SKP600-72	13,247
SKP600-72	13,067
SKP600-72	13,048
SKP600-72	16,891
SKP600-72	15,16
SKP600-72	13,988
SKP600-72	13,415
SKP600-72	16,161
SKP600-72	11,926
SKP600-72	13,958
SKP600-72	15,005
SKP600-72	15,45
SKP600-72	14,761
SKP600-72	14,249
SKP600-72	15,68
SKP600-72	13,262
SKP600-72	14,728
SKP600-72	15,818
SKP600-72	15,464
SKP600-72	15,572
SKP600-72	14,67
SKP600-72	15,078
SKP600-72	14,025
SKP600-72	15,384
SKP600-72	16,026
SKP600-72	15,737
SKP600-72	13,608
SKP600-72	14,79
SKP600-72	14,836
SKP600-72	16,055
SKP600-72	15,005
SKP600-72	13,867
SKP600-72	13,119
SKP600-72	14,796
SKP600-72	14,681
SKP600-72	13,539
SKP600-72	13,511
SKP600-72	15,662
SKP600-72	15,51
SKP600-72	15,193
SKP600-72	13,443
SKP600-72	14,976
SKP600-72	13,445
SKP600-72	13,458
SKP600-72	13,91
SKP600-72	15,376
SKP600-72	14,373
SKP600-72	15,083
SKP600-72	15,396
SKP600-72	14,094
SKP600-72	14,166
SKP600-72	13,277
SKP600-72	14,9
SKP600-72	14,306
SKP600-72	14,12
SKP500-01	6,96081375454325
SKP500-01	6,91212309747558
SKP500-01	7,00691967960787
SKP500-01	7,03061874235624
SKP500-01	6,80824577374436
SKP500-01	6,92233243275611
SKP500-01	6,96485542570649
SKP500-01	6,97491501902467
SKP500-01	7,05585592161496
SKP500-01	6,98334710882517
SKP500-01	6,98026689750058
SKP500-01	6,95600558935059
SKP500-01	6,94411747152234
SKP500-01	7,00233086346922
SKP500-01	6,96202451609487
SKP500-01	7,05910752371197
SKP500-01	6,98152359955468
SKP500-01	7,0323158102167
SKP500-01	6,70177102164762
SKP500-01	7,03377926247755
SKP500-01	6,96246422839249
SKP500-01	7,0670555992156
SKP500-01	6,95369197717678
SKP500-01	7,0414597128652
SKP500-01	6,91800676245105
SKP500-01	6,99915976345707
SKP500-01	6,84976025329124
SKP500-01	7,03214498026069
SKP500-01	6,93183614486421
SKP500-01	6,81002279456359
SKP500-01	6,98662606997191
SKP500-01	6,92426787969129
SKP500-01	6,99812548867129
SKP500-01	6,93616182363075
SKP500-01	7,02559148843799
SKP500-01	6,89089027916295
SKP500-01	7,07029513415843
SKP500-01	7,03782343408984
SKP500-01	6,90736443059573
SKP500-01	7,01107513478463
SKP500-01	6,9780501652228
SKP500-01	6,92871623006184
SKP500-01	7,01228439618237
SKP500-01	7,05432968138577
SKP500-01	6,94574862234164
SKP500-01	7,01412968858842
SKP500-01	6,85642158272488
SKP500-01	6,99221670297867
SKP500-01	7,03096568506512
SKP500-01	7,03999126805649
SKP500-01	7,11089125955826
SKP500-01	7,01075955520534
SKP500-01	7,07253847531633
SKP500-01	7,04879573236563
SKP500-01	6,95962957426328
SKP500-01	7,02566781873247
SKP500-01	7,03065961301614
